"postcode","latitude","longitude"
"BL9 7TL",53.603022,-2.250772
"BL9 7TN",53.603415,-2.251772
"BL9 7TP",53.602043,-2.250464
"BL9 7TQ",53.60288,-2.254293
"BL9 7TR",53.601934,-2.251219
"BL9 7TS",53.601722,-2.249148
"BL9 7TT",53.603557,-2.248766
"BL9 7TU",53.604642,-2.24883
"BL9 7TW",53.603767,-2.250366
"BL9 7TX",53.604239,-2.249027
"BL9 7TY",53.604106,-2.247179
"BL9 7TZ",53.603914,-2.245594
"BL9 7UA",53.60462,-2.243044
"BL9 7UB",53.604298,-2.242302
"BL9 7UE",53.594585,-2.266209
"BL9 7UJ",53.60759,-2.249953
"BL9 7UN",53.607716,-2.248848
"BL9 8AA",53.564598,-2.274838
"BL9 8AB",53.565928,-2.275027
"BL9 8AD",53.565431,-2.276051
"BL9 8AE",53.565569,-2.278739
"BL9 8AF",53.566368,-2.278941
"BL9 8AG",53.566316,-2.27811
"BL9 8AH",53.566179,-2.274468
"BL9 8AJ",53.566662,-2.275513
"BL9 8AL",53.566275,-2.275843
"BL9 8AN",53.567356,-2.275324
"BL9 8AP",53.566099,-2.278152
"BL9 8AQ",53.566579,-2.277387
"BL9 8AR",53.567003,-2.276559
"BL9 8AS",53.568651,-2.283078
"BL9 8AT",53.568992,-2.282293
"BL9 8AW",53.567481,-2.274824
"BL9 8AX",53.567417,-2.276517
"BL9 8AY",53.568718,-2.284148
"BL9 8AZ",53.568324,-2.284239
"BL9 8BA",53.567597,-2.28369
"BL9 8BD",53.568676,-2.286458
"BL9 8BE",53.569897,-2.28437
"BL9 8BG",53.570325,-2.285551
"BL9 8BH",53.569049,-2.285542
"BL9 8BJ",53.569837,-2.286831
"BL9 8BL",53.56994,-2.285095
"BL9 8BN",53.5704,-2.284555
"BL9 8BP",53.571296,-2.284619
"BL9 8BQ",53.569216,-2.286477
"BL9 8BR",53.569358,-2.284004
"BL9 8BS",53.568982,-2.28646
"BL9 8BT",53.569111,-2.288968
"BL9 8BU",53.569429,-2.288142
"BL9 8BW",53.57111,-2.284318
"BL9 8BX",53.570458,-2.286518
"BL9 8BY",53.570031,-2.288252
"BL9 8BZ",53.571027,-2.288241
"BL9 8DA",53.570342,-2.289006
"BL9 8DB",53.5698,-2.290105
"BL9 8DD",53.569049,-2.28862
"BL9 8DE",53.565954,-2.271419
"BL9 8DF",53.56601,-2.273863
"BL9 8DH",53.563047,-2.273167
"BL9 8DL",53.561137,-2.293852
"BL9 8DN",53.560223,-2.292865
"BL9 8DP",53.560849,-2.293911
"BL9 8DQ",53.56722,-2.275836
"BL9 8DR",53.559877,-2.294644
"BL9 8DS",53.562036,-2.293964
"BL9 8DT",53.561712,-2.293977
"BL9 8DU",53.562931,-2.291857
"BL9 8DW",53.560463,-2.293772
"BL9 8DX",53.562927,-2.292428
"BL9 8DY",53.56295,-2.287766
"BL9 8DZ",53.562472,-2.288411
"BL9 8EA",53.561987,-2.288152
"BL9 8EB",53.561416,-2.285579
"BL9 8ED",53.561996,-2.284347
"BL9 8EE",53.562962,-2.289394
"BL9 8EF",53.564093,-2.287064
"BL9 8EG",53.563844,-2.285915
"BL9 8EH",53.560667,-2.280126
"BL9 8EJ",53.562332,-2.283126
"BL9 8EL",53.561941,-2.283861
"BL9 8EN",53.562468,-2.282463
"BL9 8EP",53.562472,-2.280742
"BL9 8EQ",53.562206,-2.286824
"BL9 8ER",53.562076,-2.281147
"BL9 8ES",53.561593,-2.286607
"BL9 8ET",53.562915,-2.2908
"BL9 8EU",53.572322,-2.280367
"BL9 8EW",53.562741,-2.281197
"BL9 8EX",53.568408,-2.283197
"BL9 8EY",53.568938,-2.274848
"BL9 8EZ",53.566638,-2.27438
"BL9 8FS",53.592627,-2.310206
"BL9 8GA",53.562507,-2.260494
"BL9 8GD",53.571046,-2.26849
"BL9 8HA",53.561672,-2.291363
"BL9 8HB",53.560839,-2.290891
"BL9 8HD",53.559623,-2.292061
"BL9 8HE",53.561994,-2.289148
"BL9 8HF",53.561679,-2.289221
"BL9 8HG",53.560715,-2.289909
"BL9 8HH",53.560612,-2.288006
"BL9 8HJ",53.561028,-2.28609
"BL9 8HL",53.560921,-2.286831
"BL9 8HN",53.559068,-2.28706
"BL9 8HP",53.560469,-2.286916
"BL9 8HQ",53.560745,-2.288943
"BL9 8HR",53.558394,-2.287327
"BL9 8HS",53.558142,-2.287386
"BL9 8HT",53.559777,-2.28673
"BL9 8HU",53.55854,-2.28609
"BL9 8HW",53.557335,-2.28655
"BL9 8HX",53.559565,-2.286188
"BL9 8HY",53.558847,-2.285549
"BL9 8HZ",53.559889,-2.28501
"BL9 8JA",53.560759,-2.282995
"BL9 8JB",53.556591,-2.278152
"BL9 8JD",53.564592,-2.273494
"BL9 8JE",53.565363,-2.274314
"BL9 8JF",53.566784,-2.273158
"BL9 8JG",53.564884,-2.271563
"BL9 8JH",53.563407,-2.272155
"BL9 8JJ",53.562886,-2.272803
"BL9 8JL",53.563132,-2.271129
"BL9 8JN",53.559347,-2.274801
"BL9 8JP",53.561562,-2.273185
"BL9 8JQ",53.562368,-2.27117
"BL9 8JR",53.560672,-2.273089
"BL9 8JS",53.558184,-2.277317
"BL9 8JT",53.559609,-2.275168
"BL9 8JU",53.561069,-2.277442
"BL9 8JW",53.55769,-2.277042
"BL9 8JX",53.561649,-2.275407
"BL9 8JY",53.56264,-2.274266
"BL9 8JZ",53.56222,-2.273328
"BL9 8LA",53.560726,-2.27712
"BL9 8LB",53.559781,-2.278324
"BL9 8LD",53.5592,-2.277173
"BL9 8LE",53.559622,-2.277251
"BL9 8LF",53.559337,-2.279906
"BL9 8LG",53.558684,-2.277741
"BL9 8LH",53.560076,-2.279292
"BL9 8LJ",53.561002,-2.282997
"BL9 8LL",53.561369,-2.28265
"BL9 8LP",53.561051,-2.272729
"BL9 8LQ",53.558018,-2.278795
"BL9 8LR",53.564052,-2.27296
"BL9 8LS",53.567328,-2.272062
"BL9 8LT",53.569251,-2.275198
"BL9 8LU",53.556439,-2.280896
"BL9 8LW",53.557361,-2.27941
"BL9 8LX",53.556732,-2.279089
"BL9 8LY",53.556915,-2.281505
"BL9 8LZ",53.55397,-2.284097
"BL9 8NA",53.553143,-2.284152
"BL9 8NB",53.553599,-2.285362
"BL9 8ND",53.554886,-2.28433
